#timestamp	roof °C	floor °C	table °C	outdoor °C	heater °C
1139701996	21.00	17.94	21.00	-11.75	43.06
1139702000	21.06	17.94	21.00	-11.75	43.06
1139702004	21.06	17.94	21.00	-11.75	43.06
1139702008	21.06	17.94	21.00	-11.69	43.00
1139702012	21.06	17.94	21.00	-11.69	43.00
1139702017	21.00	17.88	21.00	-11.69	43.00
1139702021	21.00	17.88	21.00	-11.69	43.00
1139702025	21.00	17.88	21.00	-11.69	43.06
1139702029	21.00	17.94	21.00	-11.69	43.06
1139702033	21.00	17.94	21.00	-11.69	43.00
1139702037	21.06	17.88	21.00	-11.69	42.94
1139702041	21.00	17.88	21.00	-11.69	42.94
1139702045	21.06	17.88	21.00	-11.69	42.94
1139702049	21.06	17.81	21.00	-11.69	43.00
1139702054	21.06	17.88	21.00	-11.69	43.00
1139702058	21.00	17.94	21.00	-11.69	43.06
1139702062	21.06	17.88	21.00	-11.69	43.06
1139702066	21.06	17.94	21.00	-11.62	43.06
1139702070	21.00	17.94	21.00	-11.69	43.06
1139702074	21.06	17.94	21.00	-11.69	43.06
1139702078	21.00	17.88	21.00	-11.69	43.00
1139702083	21.00	17.88	21.00	-11.62	43.06
1139702087	21.00	17.88	21.00	-11.62	43.06
1139702091	21.00	17.94	21.00	-11.62	43.06
1139702095	21.00	17.94	21.00	-11.62	43.06
1139702099	21.00	17.88	21.00	-11.62	43.12
1139702103	21.00	17.94	21.00	-11.62	43.06
1139702107	21.00	17.94	21.00	-11.62	43.06
1139702111	21.00	17.88	21.00	-11.62	43.06
1139702115	21.00	17.88	21.00	-11.56	43.00
1139702119	21.00	17.88	21.00	-11.62	43.00
1139702123	21.06	17.88	21.00	-11.62	43.00
1139702127	21.06	17.94	21.00	-11.56	43.06
1139702131	21.06	17.94	21.00	-11.56	43.06
1139702135	21.06	17.94	21.00	-11.56	43.06
1139702139	21.06	17.88	21.00	-11.56	43.06
1139702144	21.06	17.88	21.00	-11.56	43.06
1139702148	21.06	17.88	21.00	-11.56	43.06
1139702152	21.06	17.88	21.00	-11.56	43.06
1139702156	21.06	17.88	21.00	-11.56	43.06
1139702161	21.06	17.88	21.00	-11.56	43.00
1139702165	21.06	17.88	21.00	-11.56	43.00
1139702169	21.06	17.81	21.00	-11.56	43.06
