TIME    	SMSCACHE Fetching	SMSCACHE Writing
1142854748 	798	810
1142854749 	683	680
1142854750 	6	10
1142854751 	155	150
1142854752 	496	499
1142854753 	762	770
1142854754 	470	470
1142854755 	217	220
1142854756 	709	701
1142854757 	770	778
1142854758 	573	570
1142854759 	623	620
1142854760 	424	430
1142854761 	48	47
1142854762 	299	292
1142854763 	444	450
1142854764 	805	808
1142854765 	302	301
1142854766 	679	679
1142854767 	182	180
1142854768 	798	791
1142854769 	586	588
1142854770 	164	160
1142854771 	443	450
1142854772 	334	330
1142854773 	401	400
1142854774 	427	436
1142854775 	159	152
1142854776 	631	635
1142854777 	624	624
1142854778 	14	10
1142854779 	248	250
1142854780 	557	560
1142854781 	791	790
1142854782 	544	542
1142854783 	981	987
1142854784 	0	0
1142854787 	1	0 # interval length 3 seconds
1142854788 	390	390
1142854789 	1145	1150
1142854790 	6	0
1142854791 	96	100
1142854794 	96	96.66 # interval length 3 seconds
1142854795 	375	370
1142854796 	1662	1669
1142854797 	1097	1100
1142854798 	450	442
1142854799 	807	807
1142854800 	425	430
1142854801 	47	40
1142854802 	286	290
1142854803 	414	416
1142854804 	586	584
1142854805 	476	498
1142854806 	551	550
1142854807 	396	400
1142854808 	458	458
1142854809 	805	793
1142854810 	300	307
1142854811 	430	430
1142854812 	345	340
1142854813 	182	190
1142854814 	512	510
1142854815 	296	300
1142854816 	360	360
1142854817 	886	880
1142854818 	4	10
1142854819 	88	90
1142854820 	653	650
1142854821 	544	550
1142854822 	670	664
1142854823 	1005	1005
1142854824 	176	180
1142854827 	1	0 # interval length 3 seconds
1142854828 	136	140
1142854829 	1071	1070
1142854830 	331	330
1142854831 	74	70
1142854834 	49	50 # interval length 3 seconds
1142854835 	202	210
1142854836 	1405	1400
