TIME    	TRYING	CONNECTED
1141077668 	 # interval length 59 seconds
1141077698 	10.7	10.7
1141077730 	5.93	5.93 # interval length 32 seconds
1141077788 	0	0 # interval length 58 seconds
1141077818 	10.86	10.86
1141077849 	5.96	5.96 # interval length 31 seconds
1141077909 	0	0 # interval length 60 seconds
1141077939 	10.6	10.6
1141077981 	4.59	4.59 # interval length 42 seconds
1141078030 	0	0 # interval length 49 seconds
1141078060 	11.03	11
1141078091 	5.83	5.83 # interval length 31 seconds
1141078151 	0	0 # interval length 60 seconds
1141078181 	11.16	11.16
1141078212 	5.67	5.67 # interval length 31 seconds
1141078271 	0	0 # interval length 59 seconds
1141078301 	10.7	10.7
1141078333 	5.93	5.93 # interval length 32 seconds
1141078393 	0	0 # interval length 60 seconds
1141078423 	10.83	10.83
1141078455 	5.81	5.81 # interval length 32 seconds
1141078515 	0	0 # interval length 60 seconds
1141078545 	10.83	10.83
1141078577 	5.81	5.81 # interval length 32 seconds
1141078635 	0	0 # interval length 58 seconds
1141078665 	10.8	10.8
1141078697 	5.81	5.84 # interval length 32 seconds
1141078756 	0	0 # interval length 59 seconds
1141078786 	10.73	10.73
1141078818 	5.9	5.9 # interval length 32 seconds
1141078877 	0	0 # interval length 59 seconds
1141078907 	10.9	10.9
1141078939 	5.75	5.75 # interval length 32 seconds
1141078998 	0	0 # interval length 59 seconds
1141079028 	10.63	10.63
1141079060 	6	6 # interval length 32 seconds
1141079119 	0	0 # interval length 59 seconds
1141079149 	10.86	10.86
1141079181 	5.78	5.78 # interval length 32 seconds
1141079240 	0	0 # interval length 59 seconds
1141079270 	10.86	10.86
1141079302 	5.78	5.78 # interval length 32 seconds
1141079361 	0	0 # interval length 59 seconds
1141079391 	10.63	10.63
1141079424 	5.81	5.81 # interval length 33 seconds
1141079483 	0	0 # interval length 59 seconds
1141079513 	10.83	10.83
1141079545 	5.84	5.84 # interval length 32 seconds
1141079606 	0	0 # interval length 61 seconds
1141079636 	11.2	11.2
1141079667 	5.64	5.64 # interval length 31 seconds
1141079727 	0	0 # interval length 60 seconds
1141079757 	10.66	10.66
1141079789 	5.96	5.96 # interval length 32 seconds
1141079849 	0	0 # interval length 60 seconds
1141079879 	9.16	9.13
1141079916 	6.4	6.4 # interval length 37 seconds
1141079970 	0	0 # interval length 54 seconds
1141080002 	7.96	7.96 # interval length 32 seconds
1141080040 	6.76	6.76 # interval length 38 seconds
1141080091 	0	0 # interval length 51 seconds
1141080121 	10.63	10.63
